PWM VALUE:	70	OUT_VOLTAGE:	0.07	0.06	0.06	0.06	0.06	0.05	0.06	0.05	0.06	12.01	MEDIA:	1.29
PWM VALUE:	71	OUT_VOLTAGE:	0.06	0.05	0.06	0.06	0.07	0.05	0.03	0.05	0.07	0.06	MEDIA:	0.18
PWM VALUE:	72	OUT_VOLTAGE:	0.05	0.06	0.04	0.08	0.07	12.01	0.05	0.05	0.05	0.06	MEDIA:	1.27
PWM VALUE:	73	OUT_VOLTAGE:	0.01	0.04	0.06	0.03	0.05	0.06	0.04	0.07	0.08	0.06	MEDIA:	0.18
PWM VALUE:	74	OUT_VOLTAGE:	0.05	0.09	12.01	0.06	0.06	0.05	0.03	0.05	0.05	0.05	MEDIA:	1.27
PWM VALUE:	75	OUT_VOLTAGE:	0.05	0.06	0.06	0.04	0.08	0.08	12.01	0.05	0.06	0.04	MEDIA:	1.38
PWM VALUE:	76	OUT_VOLTAGE:	0.04	0.04	0.05	0.05	0.06	0.05	0.06	0.05	0.05	0.08	MEDIA:	0.19
PWM VALUE:	77	OUT_VOLTAGE:	0.05	0.05	0.06	0.09	12.01	0.08	0.06	0.06	0.06	0.06	MEDIA:	1.28
PWM VALUE:	78	OUT_VOLTAGE:	12.01	0.05	0.05	0.05	0.07	0.04	0.07	0.06	0.07	0.04	MEDIA:	1.38
PWM VALUE:	79	OUT_VOLTAGE:	0.05	0.06	0.08	0.06	0.11	0.05	0.05	12.01	8.22	0.07	MEDIA:	2.21
PWM VALUE:	80	OUT_VOLTAGE:	0.07	0.06	0.06	0.05	0.06	0.05	0.04	0.05	0.02	0.09	MEDIA:	0.28
PWM VALUE:	81	OUT_VOLTAGE:	0.06	0.08	0.07	12.01	0.06	0.05	0.04	0.04	0.06	0.06	MEDIA:	1.28
PWM VALUE:	82	OUT_VOLTAGE:	0.05	0.05	0.05	0.04	0.04	0.06	0.06	0.05	0.04	0.09	MEDIA:	0.18
PWM VALUE:	83	OUT_VOLTAGE:	0.05	0.03	0.08	0.06	0.10	12.01	0.06	0.06	0.05	0.06	MEDIA:	1.27
PWM VALUE:	84	OUT_VOLTAGE:	0.06	0.07	0.05	0.06	0.06	0.06	0.04	0.04	0.10	0.06	MEDIA:	0.19
PWM VALUE:	85	OUT_VOLTAGE:	0.07	0.06	12.01	0.03	0.06	0.04	0.07	0.05	0.06	0.05	MEDIA:	1.27
PWM VALUE:	86	OUT_VOLTAGE:	0.06	0.06	0.04	0.06	0.06	0.04	12.01	12.01	0.04	0.04	MEDIA:	2.57
PWM VALUE:	87	OUT_VOLTAGE:	0.06	0.05	0.05	0.09	0.07	0.05	0.05	0.07	0.06	0.01	MEDIA:	0.31
PWM VALUE:	88	OUT_VOLTAGE:	0.05	0.05	0.06	0.06	0.05	0.06	0.04	0.05	0.06	0.11	MEDIA:	0.09
PWM VALUE:	89	OUT_VOLTAGE:	0.06	12.01	0.04	0.03	0.07	0.07	0.06	0.07	0.05	0.05	MEDIA:	1.26
PWM VALUE:	90	OUT_VOLTAGE:	0.04	0.08	0.10	12.01	12.01	0.06	0.07	0.06	0.05	0.06	MEDIA:	2.58
PWM VALUE:	91	OUT_VOLTAGE:	12.01	0.06	0.06	0.06	0.05	0.05	0.07	0.04	12.01	0.01	MEDIA:	2.70
PWM VALUE:	92	OUT_VOLTAGE:	0.05	0.06	0.08	0.04	0.07	0.04	0.06	0.06	0.06	0.03	MEDIA:	0.32
PWM VALUE:	93	OUT_VOLTAGE:	0.04	0.05	12.01	12.01	0.06	0.06	0.06	0.04	0.07	0.07	MEDIA:	2.48
PWM VALUE:	94	OUT_VOLTAGE:	0.04	0.06	0.07	0.06	0.06	0.06	0.04	12.01	0.01	0.06	MEDIA:	1.50
PWM VALUE:	95	OUT_VOLTAGE:	0.06	0.09	12.01	0.08	12.01	0.04	0.05	0.09	0.07	0.08	MEDIA:	2.61
PWM VALUE:	96	OUT_VOLTAGE:	0.07	0.03	0.06	0.06	0.07	0.05	0.11	12.01	0.07	0.07	MEDIA:	1.52
PWM VALUE:	97	OUT_VOLTAGE:	0.05	0.05	0.04	0.05	0.05	0.07	0.04	0.04	0.06	0.07	MEDIA:	0.20
PWM VALUE:	98	OUT_VOLTAGE:	0.04	0.05	0.07	0.09	12.01	0.09	0.09	0.04	0.05	0.06	MEDIA:	1.28
PWM VALUE:	99	OUT_VOLTAGE:	0.02	0.05	0.04	0.09	0.02	0.04	0.05	0.00	0.08	0.06	MEDIA:	0.17
PWM VALUE:	100	OUT_VOLTAGE:	12.01	0.04	0.09	0.06	0.06	0.05	0.07	0.05	0.06	0.05	MEDIA:	1.27
PWM VALUE:	101	OUT_VOLTAGE:	0.06	0.05	0.08	12.01	12.01	12.01	0.07	0.05	0.04	0.04	MEDIA:	3.77
PWM VALUE:	102	OUT_VOLTAGE:	0.04	0.03	0.06	0.07	0.05	0.07	0.04	0.03	12.01	0.07	MEDIA:	1.62
PWM VALUE:	103	OUT_VOLTAGE:	0.05	0.04	0.05	0.08	0.06	0.06	0.07	0.06	0.10	0.03	MEDIA:	0.22
PWM VALUE:	104	OUT_VOLTAGE:	0.07	0.06	0.04	0.06	0.07	0.07	0.09	0.09	0.08	12.01	MEDIA:	1.29
PWM VALUE:	105	OUT_VOLTAGE:	0.04	12.01	12.01	0.09	0.07	0.03	0.07	0.07	0.05	0.05	MEDIA:	2.58
PWM VALUE:	106	OUT_VOLTAGE:	0.07	0.03	0.06	0.07	0.06	0.05	0.08	12.01	0.07	0.07	MEDIA:	1.52
PWM VALUE:	107	OUT_VOLTAGE:	0.03	12.01	0.09	0.07	0.05	0.06	0.05	0.06	0.06	0.06	MEDIA:	1.41
PWM VALUE:	108	OUT_VOLTAGE:	0.03	0.10	0.06	0.07	12.01	0.05	0.09	0.06	0.05	0.07	MEDIA:	1.40
PWM VALUE:	109	OUT_VOLTAGE:	0.06	0.06	0.03	0.08	0.04	12.01	12.01	12.01	12.01	0.06	MEDIA:	4.98
PWM VALUE:	110	OUT_VOLTAGE:	12.01	0.08	0.06	0.07	0.06	0.06	0.04	0.05	0.06	0.06	MEDIA:	1.75
PWM VALUE:	111	OUT_VOLTAGE:	0.04	0.04	0.06	0.09	12.01	0.04	0.09	0.08	0.05	0.05	MEDIA:	1.43
PWM VALUE:	112	OUT_VOLTAGE:	0.03	12.01	0.07	0.07	0.05	0.08	0.05	0.08	0.05	0.04	MEDIA:	1.40
PWM VALUE:	113	OUT_VOLTAGE:	0.04	0.06	0.10	0.03	0.07	0.07	0.09	12.01	0.07	12.01	MEDIA:	2.59
PWM VALUE:	114	OUT_VOLTAGE:	0.08	0.09	0.06	0.05	0.05	0.05	0.04	0.06	0.08	0.05	MEDIA:	0.32
PWM VALUE:	115	OUT_VOLTAGE:	0.06	0.06	0.04	0.03	0.06	0.04	0.06	0.06	0.08	0.10	MEDIA:	0.09
PWM VALUE:	116	OUT_VOLTAGE:	0.06	0.09	0.04	0.06	0.03	0.08	0.06	0.01	0.04	0.05	MEDIA:	0.06
PWM VALUE:	117	OUT_VOLTAGE:	0.05	0.03	0.01	0.04	0.04	0.04	0.06	0.08	0.08	0.06	MEDIA:	0.05
PWM VALUE:	118	OUT_VOLTAGE:	0.06	0.07	0.08	0.07	12.01	12.01	0.04	0.08	0.06	0.04	MEDIA:	2.46
PWM VALUE:	119	OUT_VOLTAGE:	12.01	0.07	0.06	0.06	0.07	0.08	0.08	12.01	12.01	0.06	MEDIA:	3.90
PWM VALUE:	120	OUT_VOLTAGE:	0.05	12.01	0.06	0.05	0.09	0.07	0.07	0.08	0.03	0.10	MEDIA:	1.65
PWM VALUE:	121	OUT_VOLTAGE:	0.03	0.06	0.09	0.06	0.05	12.01	0.08	0.06	0.05	0.04	MEDIA:	1.42
PWM VALUE:	122	OUT_VOLTAGE:	0.05	0.04	0.06	0.09	0.06	0.01	0.08	0.07	0.06	0.08	MEDIA:	0.20
PWM VALUE:	123	OUT_VOLTAGE:	0.00	0.08	0.07	0.10	12.01	0.03	0.06	0.06	0.08	0.06	MEDIA:	1.28
PWM VALUE:	124	OUT_VOLTAGE:	0.03	0.05	0.06	0.05	0.03	0.06	0.07	0.05	0.06	0.07	MEDIA:	0.18
PWM VALUE:	125	OUT_VOLTAGE:	0.06	0.07	0.02	0.07	0.05	12.01	12.01	12.01	0.06	0.05	MEDIA:	3.66
PWM VALUE:	126	OUT_VOLTAGE:	0.08	0.10	12.01	0.04	0.09	0.06	0.04	0.02	0.06	0.05	MEDIA:	1.62
PWM VALUE:	127	OUT_VOLTAGE:	0.06	0.07	0.09	0.10	0.06	0.05	0.05	12.01	12.01	0.09	MEDIA:	2.62
PWM VALUE:	128	OUT_VOLTAGE:	0.07	0.06	0.08	0.06	12.01	12.01	0.09	0.05	0.06	0.05	MEDIA:	2.72
PWM VALUE:	129	OUT_VOLTAGE:	0.05	0.05	0.06	0.05	0.06	0.02	0.06	0.09	0.06	12.01	MEDIA:	1.52
PWM VALUE:	130	OUT_VOLTAGE:	0.06	0.09	12.01	12.01	0.08	0.03	0.06	0.04	0.00	0.05	MEDIA:	2.60
PWM VALUE:	131	OUT_VOLTAGE:	12.01	0.00	0.05	0.09	0.06	0.03	0.04	0.06	0.06	0.06	MEDIA:	1.51
PWM VALUE:	132	OUT_VOLTAGE:	0.08	0.06	0.05	0.06	0.04	0.04	0.05	0.07	0.06	12.01	MEDIA:	1.40
PWM VALUE:	133	OUT_VOLTAGE:	0.05	12.01	12.01	12.01	0.04	0.04	0.08	0.06	0.06	0.05	MEDIA:	3.78
PWM VALUE:	134	OUT_VOLTAGE:	0.06	0.02	0.04	0.04	0.07	0.09	0.08	12.01	12.01	12.01	MEDIA:	4.02
PWM VALUE:	135	OUT_VOLTAGE:	0.07	12.01	12.01	12.01	0.09	0.07	0.05	0.06	0.10	0.08	MEDIA:	4.06
PWM VALUE:	136	OUT_VOLTAGE:	0.08	0.04	0.06	0.07	0.06	12.01	0.09	0.05	0.07	0.08	MEDIA:	1.67
